L_u,m_abs_u,L_g,m_abs_g,L_r,m_abs_r,L_i,m_abs_i,L_z,m_abs_z,L_y,m_abs_y
9.549906816975985e-26,15.945218398523734,8.819063797633442e-26,16.031660022669048,8.148803262033767e-26,16.117481651775982,7.676487904826378e-26,16.182309808543298,7.338362676962962e-26,16.231218304295425,7.072160607856387e-26,16.271335946263694
9.550008708373653e-26,15.945206814474659,8.819157313563049e-26,16.031648509758547,8.148889334175063e-26,16.11747018369368,7.676568816248584e-26,16.182298364768673,7.338439902937977e-26,16.231206878504754,7.072234900824509e-26,16.27132454067691
9.550150488191133e-26,15.945190695710478,8.819287439081817e-26,16.03163248998029,8.149009101810852e-26,16.117454226291706,7.676681402846621e-26,16.18228244118977,7.338547361308005e-26,16.231190979949996,7.072338277969642e-26,16.271308670235605
9.550347771780643e-26,15.94516826719235,8.819468505954871e-26,16.03161019919514,8.14917575590653e-26,16.11743202229943,7.676838064678489e-26,16.182260284260455,7.338696887314566e-26,16.23116885784095,7.072482125028861e-26,16.271286587246117
9.550622287379134e-26,15.945137059193684,8.819720456347024e-26,16.031579182841362,8.149407651240577e-26,16.117401126711314,7.677056056000242e-26,16.182229454157227,7.338904949288109e-26,16.23113807618874,7.072682284857785e-26,16.27125586002843
9.55100426895642e-26,15.94509363553792,8.820071038972904e-26,16.03153602584035,8.149730327739438e-26,16.117358137743707,7.677359385402836e-26,16.18218655630603,7.339194462230818e-26,16.231095245754783,7.072960802126687e-26,16.27121310533984
9.551535785595222e-26,15.945033215629708,8.820558864790203e-26,16.03147597694703,8.150179322933337e-26,16.11729832264677,7.677781459633233e-26,16.18212686798695,7.3395973112053e-26,16.231035651242713,7.073348350857102e-26,16.271153616227412
9.552275373824548e-26,15.94494914887351,8.821237658532484e-26,16.03139242639242,8.150804085057282e-26,16.11721509737862,7.678368762063095e-26,16.182043819110458,7.340157862235395e-26,16.23095273289141,7.07388761195111e-26,16.27107084454036
9.5533044825726e-26,15.94483218402493,8.822182173842408e-26,16.031276179714773,8.151673417318672e-26,16.117099303259483,7.67918597050854e-26,16.181928270403343,7.340937846980934e-26,16.230837365796887,7.074637972291775e-26,16.27095568153141
9.55473643953849e-26,15.944669453839166,8.823496422521083e-26,16.03111444862947,8.152883052054801e-26,16.116938201762192,7.68032307721674e-26,16.18176751032694,7.342023158351702e-26,16.23067685841007,7.075682062152754e-26,16.27079545813542
9.556728924485499e-26,15.944443064809226,8.825325122348376e-26,16.030889449400803,8.154566187218277e-26,16.116714078324595,7.681905293528318e-26,16.18154386184342,7.343533303897901e-26,16.230453561498724,7.077134849339745e-26,16.270572556410325
9.559501319300155e-26,15.944128139804988,8.82786962064079e-26,16.030576457449108,8.156908142242982e-26,16.116402304498838,7.684106826858954e-26,16.18123274866185,7.34563455502356e-26,16.230142937444334,7.079156288588397e-26,16.27026248228547
9.563358837981252e-26,15.94369010410165,8.83141004012293e-26,16.03014110994489,8.160166740754625e-26,16.11596865098517,7.6871700410172e-26,16.180800013946683,7.348558234105767e-26,16.22971088318751,7.08196891334354e-26,16.269831193313205
9.568726079160989e-26,15.943080927606081,8.836336072206986e-26,16.029535670916726,8.164700652018339e-26,16.11536556716019,7.691432097801876e-26,16.180198207692182,7.352626141693495e-26,16.22911002348187,7.085882295686466e-26,16.269231398617716
9.576193667271717e-26,15.942233932027872,8.84318978188737e-26,16.02869386993506,8.171008787221262e-26,16.11452703962146,7.697361990090812e-26,16.179361456088344,7.358285901032592e-26,16.22827458841027,7.091327045469938e-26,16.268397445741076
9.586583062301006e-26,15.941056634646257,8.85272508555838e-26,16.02752378910019,8.179785040242372e-26,16.11336150641705,7.705611998390301e-26,16.17819839062273,7.366160067442641e-26,16.227113353768647,7.098902048685313e-26,16.267238274036554
9.601036565199455e-26,15.939420924260583,8.865990349148846e-26,16.025898097927517,8.191994305904403e-26,16.111742129079996,7.717089147172965e-26,16.176582440453767,7.377114323341349e-26,16.225499949025743,7.109440061108786e-26,16.265627740784485
9.62114221617111e-26,15.937149647795083,8.884443002766889e-26,16.023640719650956,8.208977961482685e-26,16.10949350917613,7.733054354165246e-26,16.17433857658077,7.392352098676927e-26,16.223259622969394,7.12409871304525e-26,16.263391412208765
