L_u,m_abs_u,L_g,m_abs_g,L_r,m_abs_r,L_i,m_abs_i,L_z,m_abs_z,L_y,m_abs_y
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
1.772857734691521e-29,25.273531517322223,2.7222031640336476e-29,24.80791489740275,3.520638667566932e-29,24.528662597062834,3.9741915020846466e-29,24.39709425754327,4.225371306988508e-29,24.330554036371446,4.375629606587251e-29,24.292614852950596
7.748808448445431e-29,23.672128920461848,9.857336235612809e-29,23.41081730679943,1.1235426816823136e-28,23.268742295342655,1.1840456570604506e-28,23.21179511048472,1.2086987373465156e-28,23.189421062416937,1.2176358309790484e-28,23.181422684838175
1.8374286425158458e-28,22.73469002839888,2.140377552607459e-28,22.56899026442157,2.300993519007699e-28,22.49042774490083,2.349492302065687e-28,22.467781167415097,2.3541869326342457e-28,22.46561387163899,2.3419612203613606e-28,22.47126698478573
3.055406978547093e-28,22.182543567934935,3.406674620524633e-28,22.064389595822778,3.5578846325220604e-28,22.017236579477924,3.5767858641634073e-28,22.011483882271634,3.5513248446788085e-28,22.019240234371228,3.5111821265151404e-28,22.031582840761303
4.414099327771163e-28,21.78311097949037,4.785756721547402e-28,21.695339688543637,4.906932529097111e-28,21.668191017431926,4.884484855666283e-28,21.673169314954883,4.821694947542487e-28,21.687216907095046,4.748636126343755e-28,21.703794003032037
5.91196486153843e-28,21.465886623200866,6.28235479492925e-28,21.39991008482851,6.357058534389676e-28,21.387075707644442,6.283472880474289e-28,21.39971687098047,6.17712604737497e-28,21.418250074919992,6.066656415770016e-28,21.437842734901
7.55192509805004e-28,21.200072048820147,7.9024032183168295e-28,21.150818269267052,7.916051475058152e-28,21.148944709499016,7.782320797235643e-28,21.167443410956157,7.626514250249927e-28,21.18940101827886,7.474275268418453e-28,21.211293512628416
9.338878305800515e-28,20.969479443032288,9.6523429824651e-28,20.93363436959555,9.591198105112265e-28,20.94053408001706,9.388599353850939e-28,20.963714217214786,9.17749727976948e-28,20.988405572360076,8.979114557381325e-28,21.012132452452843
1.1278675038227204e-27,20.764571023681146,1.1538795043525114e-27,20.739815085195065,1.1389452815262143e-27,20.753959084179083,1.1109299308773448e-27,20.78099956406537,1.0837006433245928e-27,20.807942905533032,1.0588016363465143e-27,20.833179723937903
1.337756977566658e-27,20.57927317129603,1.3568340856135506e-27,20.563899370614465,1.3317446432146669e-27,20.584163837080098,1.2950954745719772e-27,20.614461768906935,1.261145043343725e-27,20.643303640166714,1.230726327122449e-27,20.669812506182172
1.5641853481748725e-27,20.40949569971912,1.5747332754779682e-27,20.402198721977307,1.5381418798427912e-27,20.42772524074061,1.4919637490311418e-27,20.460820555984096,1.450674312861909e-27,20.491291430860112,1.4142626576973112e-27,20.51889104753621
1.807755740139985e-27,20.252366860443242,1.8081705645084637e-27,20.252117745942833,1.7587104974460172e-27,20.282230343922816,1.7020881963233534e-27,20.317761083561603,1.65282498518297e-27,20.349649060224404,1.6099326399110187e-27,20.378196970000566
2.0690181317498836e-27,20.105805491977808,2.057677803768368e-27,20.11177280134574,1.9939587517428157e-27,20.14592580852111,1.92595651062029e-27,20.18360004288353,1.8680683422654723e-27,20.21673433195455,1.8181938421048615e-27,20.246115777100204
2.3484424797570938e-27,19.968266414725207,2.3237037484705494e-27,19.979764337061688,2.2443121246319534e-27,20.0175080942502,2.163975337933763e-27,20.057085466082594,2.096796467985694e-27,20.09132554253993,2.0394263849510865e-27,20.121446149333817
2.6463911885072473e-27,19.838581128893853,2.606590929087022e-27,19.855034034525232,2.510093501862867e-27,19.89599148497544,2.4164524093833987e-27,19.93727061752717,2.3393056202500538e-27,19.972498822915732,2.273917204988301e-27,20.00327961434696
