L_u,m_abs_u,L_g,m_abs_g,L_r,m_abs_r,L_i,m_abs_i,L_z,m_abs_z,L_y,m_abs_y
1.0371174667941021e-24,13.355646362061384,9.482520013218567e-25,13.452906813558592,8.62874241821068e-25,13.555347471494578,7.9382078170936805e-25,13.645910072821241,7.36840425771314e-25,13.726782621404645,6.868725493362764e-25,13.803025832812354
1.0371153802314316e-24,13.355648546441635,9.48250107315233e-25,13.452908982173701,8.628725562479137e-25,13.555349592417302,7.9381928223311545e-25,13.645912123708836,7.368390830670972e-25,13.72678459988446,6.868713413378574e-25,13.803027742291444
1.03711329752911e-24,13.355650726784951,9.482482168126343e-25,13.45291114678106,8.62870873792987e-25,13.555351709420554,7.938177855306247e-25,13.645914170806519,7.368377428464873e-25,13.726786574708264,6.868701355737602e-25,13.803029648242102
1.037111218680197e-24,13.355652903098566,9.482463298077615e-25,13.452913307387863,8.628691944506838e-25,13.555353822511364,7.938162915969112e-25,13.645916214121087,7.368364051050208e-25,13.726788545882616,6.868689320399702e-25,13.80303155067065
1.0371091436777618e-24,13.355655075389718,9.482444462943239e-25,13.452915464001286,8.62867518215406e-25,13.555355931696752,7.938148004269962e-25,13.645918253659332,7.368350698382407e-25,13.726790513414066,6.86867730732478e-25,13.803033449583406
1.0371070725148909e-24,13.355657243665616,9.48242566266046e-25,13.45291761662849,8.628658450815696e-25,13.555358036983721,7.938133120159134e-25,13.64592028942802,7.3683373704170115e-25,13.726792477309143,6.86866531647284e-25,13.803035344986677
1.0371050051846789e-24,13.355659407933468,9.482406897166605e-25,13.452919765276627,8.628641750435984e-25,13.555360138379267,7.938118263587034e-25,13.645922321433916,7.368324067109613e-25,13.72679443757437,6.868653347803942e-25,13.803037236886759
1.0371029416802334e-24,13.355661568200462,9.482388166399116e-25,13.452921909952837,8.628625080959254e-25,13.555362235890371,7.938103434504149e-25,13.64592434968377,7.36831078841589e-25,13.726796394216258,6.868641401278216e-25,13.803039125289933
1.0371008819946742e-24,13.355663724473782,9.482369470295538e-25,13.45292405066425,8.628608442329945e-25,13.555364329524002,7.938088632861059e-25,13.64592637418432,7.368297534291596e-25,13.726798347241308,6.868629476855859e-25,13.803041010202474
1.0370988261211335e-24,13.355665876760591,9.482350808793535e-25,13.452926187417974,8.628591834492585e-25,13.555366419287118,7.938073858608429e-25,13.645928394942294,7.368284304692561e-25,13.72680029665601,6.868617574497138e-25,13.803042891630643
1.0370967740527543e-24,13.355668025068045,9.482332181830879e-25,13.452928320221117,8.628575257391802e-25,13.555368505186662,7.938059111697012e-25,13.645930411964407,7.368271099574698e-25,13.726802242466839,6.868605694162399e-25,13.803044769580692
1.0370947257826931e-24,13.355670169403284,9.482313589345444e-25,13.452930449080766,8.62855871097232e-25,13.555370587229568,7.938044392077642e-25,13.645932425257362,7.368257918893992e-25,13.726804184680265,6.868593835812044e-25,13.80304664405886
1.0370926813041172e-24,13.355672309773437,9.482295031275219e-25,13.452932574003999,8.628542195178955e-25,13.555372665422759,7.938029699701245e-25,13.645934434827852,7.368244762606499e-25,13.72680612330274,6.868581999406551e-25,13.803048515071378
1.0370906406102057e-24,13.355674446185622,9.48227650755829e-25,13.452934694997884,8.628525709956628e-25,13.555374739773145,7.938015034518827e-25,13.645936440682554,7.368231630668361e-25,13.726808058340708,6.868570184906464e-25,13.803050382624466
1.0370886036941528e-24,13.355676578646944,9.48225801813288e-25,13.452936812069467,8.628509255250367e-25,13.555376810287617,7.9380003964814955e-25,13.64593844282814,7.3682185230358075e-25,13.726809989800604,6.868558392272408e-25,13.803052246724327
1.0370865705491573e-24,13.355678707164495,9.48223956293727e-25,13.452938925225796,8.628492831005245e-25,13.55537887697307,7.937985785540404e-25,13.645940441271266,7.368205439665104e-25,13.726811917688845,6.868546621465043e-25,13.803054107377166
1.0370845411684377e-24,13.355680831745353,9.482221141909895e-25,13.452941034473895,8.628476437166492e-25,13.555380939836366,7.9379712016468345e-25,13.645942436018576,7.368192380512636e-25,13.726813842011847,6.868534872445142e-25,13.803055964589163
1.0370825155452223e-24,13.355682952396585,9.482202754989296e-25,13.45294313982078,8.628460073679414e-25,13.555382998884372,7.937956644752145e-25,13.645944427076705,7.3681793455348535e-25,13.726815762776003,6.868523145173526e-25,13.803057818366495
1.0370804936727455e-24,13.35568506912525,9.482184402114068e-25,13.45294524127346,8.62844374048938e-25,13.55538505412394,7.937942114807742e-25,13.645946414452279,7.368166334688252e-25,13.726817679987708,6.868511439611064e-25,13.80305966871533
1.0370784755442633e-24,13.35568718193839,9.482166083222984e-25,13.45294733883892,8.628427437541918e-25,13.5553871055619,7.9379276117651765e-25,13.645948398151901,7.36815334792946e-25,13.726819593653332,6.868499755718732e-25,13.803061515641817
1.0370764611530352e-24,13.355689290843031,9.482147798254885e-25,13.452949432524143,8.628411164782586e-25,13.55538915320508,7.937913135576034e-25,13.645950378182176,7.368140385215128e-25,13.726821503779247,6.868488093457551e-25,13.8030633591521
1.0370744504923358e-24,13.355691395846193,9.482129547148708e-25,13.452951522336098,8.62839492215707e-25,13.555391197060299,7.937898686192008e-25,13.64595235454969,7.3681274465020055e-25,13.726823410371802,6.8684764527886055e-25,13.803065199252318
1.0370724435554526e-24,13.355693496954887,9.482111329843539e-25,13.452953608281737,8.628378709611163e-25,13.555393237134354,7.937884263564876e-25,13.64595432726102,7.368114531746926e-25,13.726825313437345,6.868464833673066e-25,13.803067035948589
1.0370704403356827e-24,13.355695594176105,9.48209314627853e-25,13.452955690368004,8.628362527090721e-25,13.555395273434033,7.937869867646492e-25,13.64595629632273,7.368101640906782e-25,13.726827212982206,6.868453236072159e-25,13.80306886924702
1.0370684408263349e-24,13.355697687516825,9.482074996392957e-25,13.45295776860183,8.628346374541712e-25,13.555397305966116,7.937855498388789e-25,13.645958261741375,7.3680887739385455e-25,13.72682910901271,6.868441659947178e-25,13.80307069915372
1.0370664450207311e-24,13.35569977698402,9.482056880126202e-25,13.45295984299014,8.628330251910196e-25,13.555399334737372,7.937841155743807e-25,13.645960223523495,7.368075930799266e-25,13.726831001535164,6.868430105259489e-25,13.803072525674777
1.0370644529122048e-24,13.355701862584647,9.48203879741775e-25,13.452961913539832,8.628314159142333e-25,13.555401359754553,7.937826839663649e-25,13.645962181675625,7.368063111446072e-25,13.726832890555869,6.868418571970524e-25,13.803074348816269
1.0370624644940998e-24,13.35570394432565,9.48202074820719e-25,13.452963980257808,8.628298096184368e-25,13.555403381024401,7.937812550100502e-25,13.64596413620428,7.368050315836158e-25,13.726834776081116,6.868407060041782e-25,13.803076168584262
1.037060479759772e-24,13.355706022213969,9.482002732434219e-25,13.452966043150948,8.628282062982633e-25,13.55540539855365,7.937798287006647e-25,13.64596608711597,7.368037543926795e-25,13.726836658117177,6.868395569434824e-25,13.80307798498482
1.037058498702591e-24,13.355708096256517,9.48198475003865e-25,13.452968102226123,8.628266059483592e-25,13.555407412349016,7.937784050334452e-25,13.645968034417193,7.368024795675343e-25,13.726838536670327,6.868384100111296e-25,13.80307979802399
1.0370565213159343e-24,13.355710166460206,9.48196680096038e-25,13.45297015749019,8.62825008563375e-25,13.555409422417208,7.937769840036349e-25,13.645969978114431,7.368012071039215e-25,13.726840411746815,6.868372652032887e-25,13.80308160770781
1.0370545475931923e-24,13.355712232831937,9.481948885139407e-25,13.452972208950005,8.628234141379724e-25,13.555411428764922,7.937755656064855e-25,13.645971918214164,7.367999369975898e-25,13.726842283352893,6.868361225161356e-25,13.803083414042305
1.03705257752777e-24,13.35571429537859,9.481931002515876e-25,13.452974256612395,8.628218226668259e-25,13.555413431398843,7.937741498372602e-25,13.645973854722847,7.367986692442985e-25,13.72684415149479,6.868349819458556e-25,13.80308521703349
