t,Mdot,L_u,L_g,L_r,L_i,L_z,L_y
6015.74685,3.32078333202788e+17,2.534368677357653e+18,2.329255724928361e+18,2.1453543373872952e+18,2.015724463824546e+18,1.9203790908377892e+18,1.8417840199442012e+18
6015.846850000001,3.323834171713007e+17,2.5359358507443763e+18,2.330691069935627e+18,2.146672448867026e+18,2.0169574607016525e+18,1.921545396366773e+18,1.842891495160803e+18
6015.946850000001,3.327482785828511e+17,2.5378094679406085e+18,2.332407079146609e+18,2.1482482961865577e+18,2.018431538483795e+18,1.922939724693233e+18,1.844215469475784e+18
6016.0468500000015,3.331846264309255e+17,2.5400492866648755e+18,2.3344584823038193e+18,2.1501321359799834e+18,2.020193700992479e+18,1.9246065258027013e+18,1.8457981370892116e+18
6016.146850000002,3.337064613534177e+17,2.5427266460662554e+18,2.3369106157604465e+18,2.1523839637152722e+18,2.022300058294397e+18,1.9265988577677453e+18,1.8476898593997435e+18
6016.246850000002,3.343305231884918e+17,2.545926680075175e+18,2.339841449374706e+18,2.1550753743726257e+18,2.0248175655430656e+18,1.9289800290009021e+18,1.8499507214053176e+18
6016.346850000003,3.350768254443103e+17,2.549750940124272e+18,2.343343988220899e+18,2.158291767032777e+18,2.027826082783718e+18,1.9318255430035459e+18,1.8526523740309524e+18
6016.446850000003,3.3596929330233606e+17,2.554320496965694e+18,2.347529112928741e+18,2.1621349518481539e+18,2.0314208101001992e+18,1.935225396575221e+18,1.8558802102208522e+18
6016.546850000003,3.370365248126843e+17,2.5597796005021624e+18,2.3525289308602214e+18,2.166726225527201e+18,2.035715159510353e+18,1.9392867888973102e+18,1.8597359285250304e+18
6016.646850000004,3.383126984564901e+17,2.566299985668648e+18,2.3585007186574843e+18,2.1722099890292872e+18,2.0408441319031378e+18,1.9441373051398318e+18,1.8643405435074012e+18
6016.746850000004,3.398386542730851e+17,2.5740859206759194e+18,2.3656315442348216e+18,2.1787579879814303e+18,2.0469682734134026e+18,1.9499286436208102e+18,1.8698379069600228e+18
