t,Mdot,L_u,L_g,L_r,L_i,L_z,L_y
6519.67921,3.278587441788631e+17,2.5126441450426204e+18,2.3093584724049695e+18,2.1270818434531756e+18,1.9986309339961748e+18,1.9042086936160694e+18,1.8264275672199135e+18
6519.779210000001,3.278587441790693e+17,2.512644145043684e+18,2.3093584724059433e+18,2.1270818434540705e+18,1.9986309339970117e+18,1.9042086936168614e+18,1.8264275672206653e+18
6519.879210000001,3.2785874417951725e+17,2.512644145045995e+18,2.30935847240806e+18,2.1270818434560148e+18,1.9986309339988306e+18,1.9042086936185823e+18,1.8264275672223002e+18
6519.979210000001,3.2785874418048915e+17,2.5126441450510095e+18,2.309358472412652e+18,2.127081843460232e+18,1.9986309340027758e+18,1.9042086936223142e+18,1.8264275672258452e+18
6520.079210000002,3.278587441825997e+17,2.512644145061899e+18,2.3093584724226263e+18,2.127081843469391e+18,1.998630934011345e+18,1.9042086936304215e+18,1.8264275672335447e+18
6520.179210000002,3.278587441871811e+17,2.5126441450855347e+18,2.309358472444275e+18,2.1270818434892726e+18,1.9986309340299443e+18,1.9042086936480182e+18,1.826427567250257e+18
6520.279210000002,3.2785874419712685e+17,2.51264414513685e+18,2.309358472491273e+18,2.1270818435324342e+18,1.9986309340703237e+18,1.904208693686219e+18,1.8264275672865393e+18
6520.379210000003,3.278587442187182e+17,2.5126441452482483e+18,2.309358472593303e+18,2.1270818436261338e+18,1.9986309341579822e+18,1.9042086937691502e+18,1.8264275673653046e+18
6520.479210000003,3.278587442655903e+17,2.512644145490082e+18,2.309358472814797e+18,2.1270818438295452e+18,1.9986309343482785e+18,1.904208693949185e+18,1.826427567536295e+18
6520.5792100000035,3.2785874436734426e+17,2.5126441460150733e+18,2.309358473295634e+18,2.1270818442711263e+18,1.99863093476139e+18,1.904208694340019e+18,1.8264275679074947e+18
6520.679210000004,3.278587445882417e+17,2.512644147154772e+18,2.309358474339479e+18,2.1270818452297526e+18,1.9986309356582108e+18,1.904208695188477e+18,1.8264275687133292e+18
6520.779210000004,3.2785874506778675e+17,2.512644149628944e+18,2.309358476605561e+18,2.1270818473108316e+18,1.9986309376051162e+18,1.9042086970303928e+18,1.826427570462713e+18
6520.879210000005,3.278587461088255e+17,2.5126441550000916e+18,2.309358481524971e+18,2.12708185182862e+18,1.9986309418316298e+18,1.9042087010289853e+18,1.8264275742604303e+18
6520.979210000005,3.2785874836880896e+17,2.5126441666602783e+18,2.3093584922044815e+18,2.1270818616362563e+18,1.9986309510069379e+18,1.904208709709501e+18,1.8264275825048668e+18
6521.079210000005,3.278587532749879e+17,2.512644191973275e+18,2.3093585153885394e+18,2.1270818829275674e+18,1.9986309709255345e+18,1.9042087285539564e+18,1.8264276004026424e+18
6521.179210000006,3.278587639257707e+17,2.5126442469250504e+18,2.309358565718616e+18,2.127081929148697e+18,1.9986310141666496e+18,1.904208769463227e+18,1.8264276392567741e+18
6521.279210000006,3.2785878704746624e+17,2.5126443662193987e+18,2.3093586749797617e+18,2.1270820294897618e+18,1.9986311080384253e+18,1.904208858272823e+18,1.8264277236048852e+18
6521.379210000006,3.2785883724216154e+17,2.512644625194491e+18,2.309358912173855e+18,2.1270822473193306e+18,1.9986313118238694e+18,1.9042090510688207e+18,1.8264279067154831e+18
6521.479210000007,3.2785894620940576e+17,2.5126451874013107e+18,2.3093594270964915e+18,2.127082720203681e+18,1.9986317542199493e+18,1.9042094696080067e+18,1.826428304228716e+18
6521.579210000007,3.278591827654795e+17,2.512646407891149e+18,2.30936054493751e+18,2.1270837467841572e+18,1.9986327146137016e+18,1.9042103782110308e+18,1.826429167186677e+18
6521.6792100000075,3.278596963030546e+17,2.5126490574411904e+18,2.3093629716481823e+18,2.1270859753781548e+18,1.9986347995235395e+18,1.9042123506888312e+18,1.8264310405740014e+18
6521.779210000008,3.2786081113733626e+17,2.512654809321746e+18,2.3093682397690583e+18,2.1270908134095775e+18,1.998639325632429e+18,1.9042166327200545e+18,1.8264351074905917e+18
6521.879210000008,3.278632313210153e+17,2.512667296005063e+18,2.309379676264654e+18,2.1271013162293632e+18,1.9986491513032023e+18,1.9042259285251597e+18,1.8264439363054088e+18
6521.979210000009,3.278684852738142e+17,2.512694403117404e+18,2.309404503543354e+18,2.1271241166075725e+18,1.9986704816690793e+18,1.9042461086124782e+18,1.826463102608711e+18
6522.079210000009,3.2787989101757664e+17,2.5127532491314125e+18,2.3094584003335793e+18,2.1271736132569766e+18,1.998716787103883e+18,1.9042899169286433e+18,1.8265047101159273e+18
6522.179210000009,3.279046515601736e+17,2.512880994651019e+18,2.309575401852747e+18,2.1272810627397537e+18,1.9988173089145782e+18,1.9043850178203377e+18,1.826595033320372e+18
6522.27921000001,3.279584035654112e+17,2.513158303033232e+18,2.309829387257728e+18,2.1275143126237489e+18,1.9990355200924372e+18,1.9045914610338714e+18,1.8267911048401546e+18
6522.37921000001,3.280750911304384e+17,2.513760246338145e+18,2.310380704052356e+18,2.1280206191964992e+18,1.999509181736643e+18,1.9050395769643937e+18,1.8272167056608837e+18
6522.47921000001,3.2832839629917824e+17,2.515066700246738e+18,2.31157727773041e+18,2.1291195012124692e+18,2.0005372069245204e+18,1.906012151218023e+18,1.8281404054996375e+18
6522.579210000011,3.288782407921215e+17,2.517901447366099e+18,2.314173602787107e+18,2.1315038463330307e+18,2.0027677855900654e+18,1.9081223808390067e+18,1.8301445507304676e+18
