t,Mdot,L_u,L_g,L_r,L_i,L_z,L_y
5820.174360000045,1.4678824509873748e+18,6.875771054730515e+18,6.298980738745583e+18,5.766818167957803e+18,5.357066667096326e+18,5.025750994779769e+18,4.734625186108127e+18
5820.274360000046,1.4607397465233303e+18,6.853331962455339e+18,6.278507604390015e+18,5.748306868175289e+18,5.340249376665245e+18,5.010391257004151e+18,4.720563064941915e+18
5820.374360000046,1.453615694944428e+18,6.830915097969149e+18,6.258054129605524e+18,5.729811309437371e+18,5.323443635906992e+18,4.995039537829252e+18,4.706506152127545e+18
5820.4743600000465,1.4465102858253332e+18,6.808520478383858e+18,6.237620334398602e+18,5.71133151891406e+18,5.306649475440946e+18,4.979695866693717e+18,4.692454473497047e+18
5820.574360000047,1.4394235087126e+18,6.786148120777421e+18,6.217206238732208e+18,5.692867523750896e+18,5.289866925903729e+18,4.964360273084235e+18,4.67840805494496e+18
5820.674360000047,1.432355353124721e+18,6.763798042193574e+18,6.196811862525452e+18,5.674419351068504e+18,5.273096017948863e+18,4.949032786535405e+18,4.664366922428367e+18
5820.774360000048,1.4253058085521533e+18,6.741470259641516e+18,6.176437225653199e+18,5.655987027962081e+18,5.256336782246363e+18,4.93371343662955e+18,4.650331101966902e+18
5820.874360000048,1.4182748644573745e+18,6.719164790095651e+18,6.15608234794575e+18,5.637570581500957e+18,5.23958924948241e+18,4.918402252996583e+18,4.636300619642786e+18
5820.974360000048,1.4112625102749094e+18,6.696881650495225e+18,6.135747249188415e+18,5.619170038728026e+18,5.222853450358907e+18,4.903099265313801e+18,4.622275501600795e+18
5821.074360000049,1.404268735411388e+18,6.674620857744136e+18,6.115431949121238e+18,5.600785426659363e+18,5.206129415593172e+18,4.887804503305751e+18,4.608255774048341e+18
5821.174360000049,1.3972935292455834e+18,6.652382428710516e+18,6.095136467438544e+18,5.582416772283638e+18,5.189417175917486e+18,4.872517996744038e+18,4.594241463255421e+18
5821.2743600000495,1.3903368811284695e+18,6.630166380226565e+18,6.074860823788673e+18,5.56406410256171e+18,5.172716762078779e+18,4.857239775447186e+18,4.580232595554692e+18
5821.37436000005,1.3833987803832591e+18,6.60797272908815e+18,6.054605037773537e+18,5.54572744442606e+18,5.156028204838177e+18,4.841969869280425e+18,4.5662291973414426e+18
5821.47436000005,1.3764792163054804e+18,6.585801492054605e+18,6.034369128948342e+18,5.527406824780384e+18,5.139351534970686e+18,4.826708308155572e+18,4.552231295073647e+18
5821.574360000051,1.3695781781630052e+18,6.563652685848385e+18,6.014153116821167e+18,5.509102270499029e+18,5.122686783264742e+18,4.811455122030811e+18,4.538238915271954e+18
5821.674360000051,1.3626956551961313e+18,6.541526327154807e+18,5.993957020852667e+18,5.49081380842656e+18,5.106033980521875e+18,4.796210340910568e+18,4.524252084519731e+18
5821.774360000051,1.3558316366176315e+18,6.519422432621765e+18,5.973780860455684e+18,5.472541465377235e+18,5.08939315755629e+18,4.780973994845302e+18,4.5102708294630636e+18
5821.874360000052,1.3489861116128154e+18,6.497341018859431e+18,5.953624654994904e+18,5.454285268134533e+18,5.072764345194483e+18,4.765746113931357e+18,4.4962951768107935e+18
5821.974360000052,1.3421590693396e+18,6.475282102439962e+18,5.933488423786503e+18,5.436045243450629e+18,5.056147574274833e+18,4.750526728310756e+18,4.48232515333451e+18
5822.074360000052,1.3353504989285727e+18,6.453245699897254e+18,5.913372186097809e+18,5.41782141804595e+18,5.039542875647244e+18,4.735315868171066e+18,4.468360785868605e+18
5822.174360000053,1.3285603894830707e+18,6.431231827726647e+18,5.893275961146972e+18,5.399613818608664e+18,5.022950280172728e+18,4.72011356374521e+18,4.454402101310286e+18
5822.274360000053,1.3217887300792404e+18,6.409240502384622e+18,5.873199768102565e+18,5.381422471794159e+18,5.006369818722994e+18,4.704919845311268e+18,4.4404491266195743e+18
5822.3743600000535,1.315035509766119e+18,6.387271740288543e+18,5.853143626083277e+18,5.363247404224588e+18,4.989801522180073e+18,4.689734743192325e+18,4.4265018888193556e+18
5822.474360000054,1.3083007175657132e+18,6.365325557816371e+18,5.833107554157564e+18,5.345088642488351e+18,4.973245421435904e+18,4.674558287756276e+18,4.4125604149953853e+18
5822.574360000054,1.3015843424730706e+18,6.343401971306411e+18,5.813091571343307e+18,5.326946213139619e+18,4.956701547391944e+18,4.659390509415676e+18,4.39862473229633e+18
5822.674360000055,1.2948863734563748e+18,6.321500997056991e+18,5.793095696607457e+18,5.308820142697812e+18,4.940169930958752e+18,4.644231438627523e+18,4.3846948679337743e+18
