5262.82995  20.322   0.409
5267.82049  20.291   0.126
5268.79175  20.280   0.140
5270.83098  20.292   0.103
5272.79290  20.107   0.138
5273.84752  20.262   0.112
5274.79627  20.062   0.116
5275.91321  20.094   0.156
5276.81684  20.410   0.116
5277.78307  20.401   0.136
5277.91208  20.170   0.134
5279.79365  20.289   0.185
5279.91738  20.517   0.221
5281.78084  20.154   0.102
5281.91750  20.130   0.148
5282.90601  20.405   0.122
5285.76013  19.782   0.135
5285.88949  20.058   0.114
5287.82101  20.178   0.117
5288.75436  20.354   0.180
5294.77287  20.117   0.079
5294.80994  20.094   0.072
5294.87767  20.358   0.074
5294.91964  20.224   0.111
5295.81298  19.272   0.042
5295.85088  19.228   0.036
5295.88972  19.246   0.041
5296.85240  19.259   0.037
5296.89087  19.314   0.039
5297.84931  19.303   0.037
5297.88800  19.299   0.041
5299.87276  19.435   0.045
5300.86771  19.452   0.045
5300.90848  19.371   0.050
5304.76317  19.813   0.089
5307.68653  20.400   0.136
5307.74961  20.179   0.104
5307.81109  20.319   0.097
5307.84957  20.272   0.096
5307.89046  20.449   0.109
5307.92789  19.986   0.109
5308.73973  20.093   0.121
5308.80123  20.317   0.102
5308.83870  20.210   0.089
5308.88659  20.225   0.085
5309.81092  20.120   0.096
5309.85465  20.236   0.104
5310.72128  20.311   0.142
5310.77757  20.204   0.126
5310.85893  20.433   0.111
5310.89089  20.337   0.104
5310.92835  20.026   0.103
5311.82141  20.278   0.114
5311.87745  20.010   0.090
5311.92227  20.463   0.147
5312.74745  20.200   0.139
5312.78983  20.578   0.191
5312.82786  20.371   0.172
5312.87211  20.286   0.142
5312.91171  20.601   0.172
5313.78387  20.054   0.169
5313.82273  20.137   0.158
5313.86240  19.999   0.153
5313.90063  20.457   0.181
5314.67151  20.012   0.177
5314.71197  20.371   0.233
5314.75125  20.404   0.195
5314.79119  20.497   0.231
5314.84872  20.338   0.175
5314.88614  20.553   0.195
5315.68901  19.878   0.157
5315.73693  20.519   0.289
5315.77446  20.546   0.274
5315.81220  20.457   0.201
5315.85238  20.339   0.208
5315.89451  20.182   0.174
5316.68015  20.718   0.374
5316.72730  20.177   0.190
5316.77034  20.018   0.198
5316.86456  20.534   0.319
5320.92908  20.502   0.235
5324.70432  20.145   0.137
5324.74345  20.302   0.117
5324.78085  20.285   0.136
5324.82098  20.408   0.149
5324.85991  20.497   0.158
5324.89727  20.543   0.162
5324.93783  20.026   0.195
5325.68754  20.156   0.111
5325.72404  20.234   0.102
5325.76221  20.525   0.137
5325.79950  20.133   0.093
5325.84775  20.215   0.125
5325.88781  20.405   0.153
5325.92829  20.568   0.227
5326.72205  20.074   0.108
5326.76011  20.185   0.109
5326.79851  20.392   0.105
5326.83783  20.315   0.116
5326.87648  20.532   0.175
