obj_name,d,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,phot_g_mean_mag
OGLE BLG-DN-0002,1.1077778975745636e-06,6835.22216796875,4309.220703125,9664.34375,9359.4716796875,7572.67333984375,11548.2744140625,19.868200302124023
OGLE BLG-DN-0036,4.3996479203509905e-05,6041.18603515625,3385.24853515625,8293.5615234375,8995.673828125,6674.083984375,10768.75,20.105499267578125
OGLE BLG-DN-0174,0.0002314741480523472,4662.99560546875,2631.927490234375,7317.29736328125,0.0,0.0,0.0,19.671899795532227
OGLE BLG-DN-0376,5.4185389919150025e-05,214.16650390625,176.85357666015625,268.4180908203125,7831.19677734375,6012.091796875,9371.939453125,19.615299224853516
OGLE BLG-DN-0588,0.00020247196212980377,6137.64306640625,1588.214111328125,10987.9169921875,6346.5908203125,4594.66455078125,8407.9150390625,18.843000411987305
OGLE BLG-DN-0826,0.00026460589753491727,6808.20263671875,4808.6337890625,8817.1318359375,10345.2705078125,8596.8720703125,12078.16015625,20.342100143432617
