obj_name,d,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,phot_g_mean_mag
OGLE BLG-DN-0001,0.0009002341691437855,6170.6484375,3598.841796875,10553.4833984375,10277.5048828125,7300.955078125,13482.470703125,19.38450050354004
OGLE BLG-DN-0002,0.0009211334386250103,1200.9456787109375,626.3096313476562,2519.3916015625,7683.50537109375,5825.1962890625,10105.2392578125,18.802200317382812
OGLE BLG-DN-0036,4.3996479203509905e-05,6041.18603515625,3385.24853515625,8293.5615234375,8995.673828125,6674.083984375,10768.75,20.105499267578125
OGLE BLG-DN-0087,0.000853356692955829,5517.5224609375,3386.4423828125,8405.53125,6613.6162109375,5283.9638671875,8626.568359375,19.90060043334961
OGLE BLG-DN-0168,0.0012757579604735646,2020.9573974609375,1516.5499267578125,2864.71435546875,3938.939208984375,3013.527587890625,5153.201171875,18.39539909362793
OGLE BLG-DN-0174,0.0004834780684880724,3716.4951171875,2345.97705078125,6400.6044921875,3228.2705078125,2154.301025390625,4817.15283203125,18.83329963684082
OGLE BLG-DN-0233,0.0009865147557393003,6054.86376953125,3695.85205078125,8407.337890625,7583.4892578125,5879.26806640625,9769.60546875,18.90089988708496
OGLE BLG-DN-0275,0.0011852727364245407,2487.276123046875,1419.7025146484375,3405.345703125,4609.3076171875,3619.29345703125,6339.56396484375,18.640100479125977
OGLE BLG-DN-0286,0.0012234676924832853,6194.25,3249.576904296875,8522.8564453125,7325.55078125,6397.88525390625,8339.0966796875,19.503000259399414
OGLE BLG-DN-0305,0.0012529911719246847,1157.8359375,843.2986450195312,1582.8001708984375,1760.834716796875,1319.142822265625,2816.8310546875,17.990999221801758
OGLE BLG-DN-0373,0.0009340228529698826,2824.96630859375,2139.114501953125,3723.97900390625,3233.403564453125,2550.814453125,4268.20751953125,17.765300750732422
OGLE BLG-DN-0376,5.4185389919150025e-05,214.16650390625,176.85357666015625,268.4180908203125,7831.19677734375,6012.091796875,9371.939453125,19.615299224853516
OGLE BLG-DN-0421,0.0009111110908113609,231.50155639648438,133.760498046875,694.1950073242188,1055.7386474609375,761.3687744140625,1619.3924560546875,19.82979965209961
OGLE BLG-DN-0444,0.0006259394455224302,7855.73974609375,5832.76416015625,10276.3916015625,7500.83935546875,4972.24365234375,10027.41015625,17.157699584960938
OGLE BLG-DN-0458,0.0010216178628131626,874.5257568359375,689.9876708984375,1160.5252685546875,2734.365234375,2029.6658935546875,4013.086669921875,18.048500061035156
OGLE BLG-DN-0531,0.0012725756079654971,655.9874267578125,489.4485778808594,910.4581298828125,5427.16552734375,4470.24951171875,7577.6240234375,18.686199188232422
OGLE BLG-DN-0588,0.0010605244564337328,3098.938720703125,2495.869140625,5048.56298828125,3006.603271484375,2270.149169921875,3974.429931640625,16.223899841308594
OGLE BLG-DN-0595,0.0008225170411850977,5685.0703125,2896.612060546875,8593.8662109375,6626.9501953125,5251.01318359375,8538.052734375,18.935800552368164
OGLE BLG-DN-0690,0.0011533806116436137,5792.0625,3819.71044921875,7625.3095703125,nan,nan,nan,18.67569923400879
OGLE BLG-DN-0783,0.0010617154599383471,5483.236328125,3892.8857421875,8018.5849609375,nan,nan,nan,19.64940071105957
OGLE BLG-DN-0826,0.0013403549924292716,4673.8857421875,3008.4453125,6668.9228515625,7617.56005859375,5714.302734375,11375.1962890625,19.18869972229004
OGLE BLG-DN-0899,0.0008265803388966351,1119.0662841796875,886.21875,1538.0269775390625,1936.4642333984375,1568.1278076171875,2320.7861328125,16.596500396728516
