name,outburst_index,t_start,t_end,method_name,method_num,parameters_1,parameters_2,parameters_3,parameters_4,parameters_5,parameters_6
OGLE BLG-DN-0001,3,5369.75629,5388.84341,Villar_mag,2,55.870061030222054,-66.20217560021354,5357.510567876168,5.636216585536751,255.7661363021788,0.009467188008118011
OGLE BLG-DN-0001,4,5825.61411,5842.483,Bazin,1,5.355286545560613e-07,4.456574221147066e-08,5829.446812548591,0.10637694065077888,10.682970775779419,7.974063879387811e-16
OGLE BLG-DN-0002,0,3827.81091,3845.72861,Villar_mag,2,13.87571732461837,-26.783389817170153,3826.6606724310477,3.6031168599140595,47.21145924636586,0.061872763046787446
OGLE BLG-DN-0002,1,5368.64186,5386.83448,Bazin,1,3.537266907861211e-06,-1.6955455109583373e-06,5369.527828408706,7.99191617883989,29.590016088024587,4.387675703206669e-17
OGLE BLG-DN-0002,2,6338.87497,6355.85866,Villar_mag,2,2.6792979479516528,-18.703618785633612,6342.297457214134,0.4528359648021853,42.26685864494635,0.0030335593907141745
OGLE BLG-DN-0036,0,5753.57044,5770.76651,Bazin,1,3.4611157846940884e-08,9.818903060396122e-09,5759.285222734076,0.3486326757650928,8.29039746710392,3.219566793880745e-18
OGLE BLG-DN-0087,0,6741.83826,6763.92975,Bazin,1,1.240514303932186e-07,2.6942982055262546e-08,6744.561707160051,0.048894045667412074,6.762994999281024,4.363793919240185e-17
OGLE BLG-DN-0168,0,5807.57436,5829.49416,Villar_mag,2,2.5309685116811558,-20.052419114224996,5808.117298683101,0.05033261812435746,16.073908035423706,0.009582280007514743
OGLE BLG-DN-0174,0,5369.72858,5395.80807,Villar_mag,2,43.76353396858333,-60.647230189190736,5361.186101259603,3.42536175391316,775.2484526376301,0.014488488893525076
OGLE BLG-DN-0233,1,6078.90919,6094.89146,Villar_mag,2,1.8344987183731405,-19.28884656571858,6081.576141826568,0.3626309556554263,21.28440304593459,0.011200971280037142
OGLE BLG-DN-0286,0,6362.90335,6379.74848,Villar_mag,2,7.313658012955516,-23.501026289864637,6364.213195798401,2.211337821606092,34.821492372795284,0.01085092769660004
OGLE BLG-DN-0305,2,6407.81439,6431.66993,Villar_mag,2,2.515732508459353,-20.138364892542164,6414.893333615868,0.5109499582691663,26.1424863308728,0.014143097793179248
OGLE BLG-DN-0373,0,5698.8918,5716.90036,Villar_mag,2,3.740454702613483,-21.109533839388003,5697.703575857972,1.2848951667657926,98.86564498163179,0.002475756613224642
OGLE BLG-DN-0376,1,6048.90257,6064.91082,Villar_mag,2,5.786705203994871,-19.722039381423404,6052.271358658689,0.733094557146728,16.171320717052822,0.12207967891224408
OGLE BLG-DN-0421,2,6113.56355,6128.71541,Villar_mag,2,3.192764703623912,-19.27731602909635,6115.018503201025,0.439247252758175,30.551950212204208,0.01722431227872194
OGLE BLG-DN-0444,0,5342.85521,5362.81763,Villar_mag,2,2.3188593407887015,-20.65023354182037,5345.409250476168,1.2643412254529371,23.101674822549143,0.01818829865884946
OGLE BLG-DN-0531,0,6519.67921,6539.63674,Villar_mag,2,1.9395725389377205,-20.345839449008846,6522.630542110245,0.6761218236399704,25.376824040524852,0.019009101011008854
OGLE BLG-DN-0588,0,6077.82678,6093.57531,Villar_mag,2,2.8863797871824493,-20.01036365691585,6078.824765127702,0.08969968888217135,22.197320140581088,0.007017838542785121
OGLE BLG-DN-0595,0,6036.9286,6053.64624,Villar_mag,2,5.583727496270759,-20.635514029054008,6039.95029911209,0.9233072313223281,14.941195117776418,0.07784728175497156
OGLE BLG-DN-0690,2,6445.73223,6461.5987,Villar_mag,2,2.8722635383159068,-20.013948541062234,6448.6217209810875,1.3807958498920145,27.576836648747598,0.010416898630750482
OGLE BLG-DN-0783,0,6015.74685,6036.74346,Villar_mag,2,2.2216748514776388,-19.31990850838939,6019.038248404025,0.26318640375024277,24.57198705061593,0.01718754923308228
OGLE BLG-DN-0826,0,6447.64826,6464.87752,Villar_mag,2,2.7220881260647327,-20.360424188532658,6450.57415258419,0.12271348834404765,20.958361482356633,0.013546614915658183
OGLE BLG-DN-0899,0,5376.87874,5393.82801,Villar_mag,2,3.641587897110785,-20.715550215693803,5377.453091877842,0.45132643324608485,30.42749004850498,0.004117178952883624
