name,"l, b",distance,extinction_baye,extinction_sfd,extinction_marshall
OGLE BLG-DN-0001,"0.4876846987926406,-1.6290526756839978",6170.6484375,4.08558002614975,3.3083622,0.9019599469900131
OGLE BLG-DN-0002,"0.561830726752913,-1.621997295620857",1200.9456787109375,0.9646612449288369,3.232469,0.21383073265850544
OGLE BLG-DN-0036,"359.8296351467242,3.133996205624651",6041.18603515625,4.963019843101502,5.096335,1.4258399477005004
OGLE BLG-DN-0087,"355.12895040541207,-2.3665753814191692",5517.5224609375,nan,3.3402574,0.9267959986925125
OGLE BLG-DN-0168,"359.7499500545104,-1.368942364059099",2020.9573974609375,1.1303150882720947,4.2573614,0.43403591626882554
OGLE BLG-DN-0174,"0.8802760029976957,-0.7765534530416607",3716.4951171875,1.1242199901938439,8.332935,0.8664431117177009
OGLE BLG-DN-0233,"359.10894763082416,-2.4290148981921216",6054.86376953125,4.908179895401001,3.2802925,1.004472686290741
OGLE BLG-DN-0275,"359.962122776768,-2.457384729237614",2487.276123046875,nan,3.0595458,0.5778523896038532
OGLE BLG-DN-0286,"2.2483645182104555,-1.201842526528118",6194.25,6.306599869251251,13.114445,1.632508938074112
OGLE BLG-DN-0305,"359.42635530171947,-2.952970511609461",1157.8359375,nan,2.5557764,0.25398287665843966
OGLE BLG-DN-0373,"1.446179142492059,-2.421275106556807",2824.96630859375,2.1113399477005004,2.5840807,0.4518890858888626
OGLE BLG-DN-0376,"2.357927250667173,-1.9053855350173186",214.16650390625,0.0,4.638609,0.058724457275122405
OGLE BLG-DN-0421,"2.8753513897230065,-1.9481563711384844",231.50155639648438,0.0,6.219169,0.04005875823833048
OGLE BLG-DN-0444,"1.9406107912566608,-2.6839396994490836",7855.73974609375,2.1387599215507507,2.1430433,0.49904398986697196
OGLE BLG-DN-0458,"2.6367351414191096,-2.380159209767705",874.5257568359375,0.237756180614233,3.5763772,0.12979726561903954
OGLE BLG-DN-0531,"2.1934496745573275,-3.0461152009446226",655.9874267578125,0.4298309956490993,2.466809,0.07986584045737982
OGLE BLG-DN-0588,"2.3095197399042737,-3.2849047019425677",3098.938720703125,0.8373967868685722,2.12568,0.45071075364947316
OGLE BLG-DN-0595,"2.3841678708812566,-3.2744783977170253",5685.0703125,1.8749484980106355,2.2850096,0.4716240160167217
OGLE BLG-DN-0690,"3.2925712959714,-3.3076701103187673",5792.0625,1.700040013074875,1.8116069,0.5072700065374375
OGLE BLG-DN-0783,"5.340566977710861,-2.938612950091337",5483.236328125,2.714579862713814,3.9537897,0.7403400294184684
OGLE BLG-DN-0826,"6.185650902814236,-2.73617254001752",4673.8857421875,3.071040013074875,3.8039954,0.9868388476967812
OGLE BLG-DN-0899,"4.505422838158684,-4.235463901505855",1119.0662841796875,0.4636301192343235,1.689074,0.08611539570987224
